Numero de point;Latitude;Longitude;Modele;PLUVIOMETRIE moyenne des 17 fichiers;PLUVIO EXCEPTIONNELLE moyenne des 17 fichiers
139;41,3373;9,1495;GWL20;698,7929412;57,84882353
281;41,4149;9,0628;GWL20;699,9923529;57,88176471
282;41,4087;9,1577;GWL20;725,9111765;59,62176471
283;41,4025;9,2527;GWL20;702,1882353;58,81882353
422;41,4985;8,8808;GWL20;714,0517647;59,71588235
423;41,4925;8,9759;GWL20;731,1823529;61,15823529
424;41,4864;9,071;GWL20;716,1811765;59,21882353
425;41,4802;9,166;GWL20;749,4723529;61,14764706
426;41,4739;9,261;GWL20;714,6305882;59,80411765
564;41,5759;8,7935;GWL20;737,8570588;56,13823529
565;41,57;8,8888;GWL20;773,1376471;57,87352941
566;41,564;8,984;GWL20;803,5558824;60,30352941
567;41,5579;9,0791;GWL20;1036,235882;73,08058824
568;41,5517;9,1743;GWL20;760,2164706;61,44470588
569;41,5454;9,2694;GWL20;734,8470588;71,73882353
707;41,6474;8,8014;GWL20;740,29;56,47941176
708;41,6415;8,8967;GWL20;791,5064706;60,98176471
709;41,6355;8,992;GWL20;806,6070588;60,40176471
710;41,6294;9,0873;GWL20;1017,291765;73,93058824
711;41,6232;9,1826;GWL20;1023,938824;74,23117647
712;41,6169;9,2779;GWL20;822,6305882;81,19705882
849;41,7248;8,7138;GWL20;747,8270588;60,06058824
850;41,719;8,8093;GWL20;749,5223529;60,14294118
851;41,713;8,9047;GWL20;818,7347059;61,65705882
852;41,707;9,0001;GWL20;980,2817647;67,76
853;41,7009;9,0955;GWL20;1019,284118;71,28529412
854;41,6946;9,1909;GWL20;1135,281765;88,49117647
855;41,6884;9,2863;GWL20;919,6794118;89,79529412
856;41,682;9,3817;GWL20;816,8364706;86,57176471
992;41,7963;8,7216;GWL20;756,2352941;60,8
993;41,7905;8,8171;GWL20;855,7082353;65,55705882
994;41,7845;8,9127;GWL20;934,4558824;68,32588235
995;41,7785;9,0083;GWL20;1134,700588;77,44294118
996;41,7724;9,1038;GWL20;1328,703529;88,76294118
997;41,7661;9,1993;GWL20;1357,260588;102,69
998;41,7598;9,2948;GWL20;1195,247059;94,69882353
999;41,7535;9,3902;GWL20;839,1141176;87,99058824
1134;41,8737;8,6336;GWL20;740,5864706;58,90294118
1135;41,8679;8,7294;GWL20;739,3929412;59,56470588
1136;41,862;8,8251;GWL20;816,5323529;64,00941176
1137;41,856;8,9207;GWL20;1039,415882;72,82117647
1138;41,85;9,0164;GWL20;1003,091176;69,01117647
1139;41,8439;9,112;GWL20;1457,128235;95,96647059
1140;41,8376;9,2077;GWL20;1578,214118;114,6252941
1141;41,8313;9,3033;GWL20;957,6694118;92,19823529
1142;41,8249;9,3988;GWL20;824,9547059;107,0882353
1276;41,9509;8,5455;GWL20;746,7482353;62,32352941
1277;41,9452;8,6413;GWL20;799,9488235;64,91235294
1278;41,9394;8,7372;GWL20;795,7358824;64,54941176
1279;41,9335;8,833;GWL20;780,1076471;65,59529412
1280;41,9276;8,9288;GWL20;888,2017647;69,03764706
1281;41,9215;9,0246;GWL20;1191,259412;77,74117647
1282;41,9154;9,1203;GWL20;1318,111176;89,63647059
1283;41,9091;9,216;GWL20;1166,605882;90,81647059
1284;41,9028;9,3118;GWL20;964,7094118;114,2158824
1285;41,8964;9,4075;GWL20;807,7247059;103,2958824
1420;42,0168;8,649;GWL20;761,8241176;63,75588235
1421;42,011;8,745;GWL20;834,7805882;67,25235294
1422;42,0051;8,8409;GWL20;841,4829412;71,54470588
1423;41,9991;8,9368;GWL20;1122,31;80,82529412
1424;41,993;9,0327;GWL20;1197,391176;80,68882353
1425;41,9869;9,1286;GWL20;1527,802353;104,8576471
1426;41,9806;9,2245;GWL20;1151,993529;89,99764706
