Numero de point;Latitude;Longitude;Modele;PLUVIOMETRIE moyenne des 17 fichiers;PLUVIO EXCEPTIONNELLE moyenne des 17 fichiers
139;41,3373;9,1495;REF;706,2775;53,32875
281;41,4149;9,0628;REF;707,250625;53,58375
282;41,4087;9,1577;REF;732,93875;54,724375
283;41,4025;9,2527;REF;709,44875;53,45875
422;41,4985;8,8808;REF;712,241875;52,61875
423;41,4925;8,9759;REF;730,34625;54,13875
424;41,4864;9,071;REF;722,69875;54,203125
425;41,4802;9,166;REF;757,65125;55,769375000000004
426;41,4739;9,261;REF;722,646875;53,926875
564;41,5759;8,7935;REF;737,905;49,971875
565;41,57;8,8888;REF;773,7975;51,749375
566;41,564;8,984;REF;805,1425;54,72625
567;41,5579;9,0791;REF;1053,923125;67,890625
568;41,5517;9,1743;REF;764,748125;56,386874999999996
569;41,5454;9,2694;REF;740,1693750000001;62,1775
707;41,6474;8,8014;REF;735,46125;50,184375
708;41,6415;8,8967;REF;793,701875;55,644999999999996
709;41,6355;8,992;REF;810,19125;55,565
710;41,6294;9,0873;REF;1035,45125;68,109375
711;41,6232;9,1826;REF;1042,0129411764706;68,04
712;41,6169;9,2779;REF;829,3911764705882;71,2429411764706
849;41,7248;8,7138;REF;738,2641176470588;53,33
850;41,719;8,8093;REF;739,96;53,41470588235294
851;41,713;8,9047;REF;819,3158823529412;56,13941176470588
852;41,707;9,0001;REF;985,2270588235294;61,9735294117647
853;41,7009;9,0955;REF;1032,379411764706;66,26176470588236
854;41,6946;9,1909;REF;1155,2676470588235;79,3870588235294
855;41,6884;9,2863;REF;935,5441176470588;80,29294117647059
856;41,682;9,3817;REF;824,7005882352942;77,32411764705883
992;41,7963;8,7216;REF;747,7835294117647;53,765882352941176
993;41,7905;8,8171;REF;848,7788235294117;58,58529411764705
994;41,7845;8,9127;REF;932,5011764705882;61,137647058823525
995;41,7785;9,0083;REF;1146,650588235294;70,76411764705882
996;41,7724;9,1038;REF;1350,4211764705883;83,49411764705881
997;41,7661;9,1993;REF;1383,6817647058824;92,46176470588235
998;41,7598;9,2948;REF;1217,3835294117648;84,3664705882353
999;41,7535;9,3902;REF;850,2311764705883;78,77764705882353
1134;41,8737;8,6336;REF;725,8223529411764;52,41823529411765
1135;41,8679;8,7294;REF;727,964705882353;53,13117647058824
1136;41,862;8,8251;REF;809,074705882353;57,06470588235294
1137;41,856;8,9207;REF;1042,8170588235294;65,79764705882353
1138;41,85;9,0164;REF;1018,42;64,43588235294118
1139;41,8439;9,112;REF;1490,11;91,94529411764705
1140;41,8376;9,2077;REF;1621,349411764706;102,77235294117648
1141;41,8313;9,3033;REF;986,4664705882353;82,32529411764706
1142;41,8249;9,3988;REF;832,6323529411765;94,59529411764707
1276;41,9509;8,5455;REF;730,7341176470588;55,828823529411764
1277;41,9452;8,6413;REF;784,4705882352941;58,44764705882353
